id	Username	Text	Date	Retweets	Favorites	Mentions	Hashtags	Geo	Permalink	True Positive	False Positive	isClean
2.37798193386004E+016	ayeDAE	hey Nicki hey Nicki. ASTHMA	1/8/2011	0	0				https://twitter.com/ayeDAE/status/23779819338600449	0	1	-1
4.74740992047054E+017	maseyfraz	â€œ @MyDickIsCalled : My dick is called Asthma . It leaves bitches breathless.â€	6/5/2014	0	2	@MyDickIsCalled			https://twitter.com/maseyfraz/status/474740992047054848	0	1	-1
4.47559199246282E+017	Imarneee	"LMFAOO""@Livi_lawr: sddsjhzmf,sjhhjrms .....where is my asthma pump? "" @GhetttoVine : LMFAO https:// vine.co/v/MWHTnm5dVDz """""	3/22/2014	3	0	@Livi_lawr @GhetttoVine			https://twitter.com/Imarneee/status/447559199246282752	1	0	1
3.68728277323501E+017	eyevawn	It's great when you wake up with an asthma attack lol	8/17/2013	0	1				https://twitter.com/eyevawn/status/368728277323501569	1	0	1
2.86587386811527E+017	denisepolice	@DonAMH I hate winter too. my asthma is getting worse! the cold air gives me ear infections!	1/2/2013	0	0	@DonAMH			https://twitter.com/denisepolice/status/286587386811527168	1	0	1
2.26543644482629E+017	aaronwhitelaw	I got asthma	7/21/2012	0	0				https://twitter.com/aaronwhitelaw/status/226543644482629632	1	0	1
2.42675717157048E+017	ashhmarieex3	Olisas dumbb , tryna get an inhaler whenn he doesnt even have asthma lmaooo	9/3/2012	0	0				https://twitter.com/ashhmarieex3/status/242675717157048320	0	1	-1
5.04852354462916E+017	MichiganHopeful	Its youngbutterflu I'm like asthma times two	8/28/2014	0	2				https://twitter.com/MichiganHopeful/status/504852354462916608	1	0	1
4.79594517826252E+017	pnkrokhockeymom	Oh hi there asthma . How you been?	6/19/2014	0	0				https://twitter.com/pnkrokhockeymom/status/479594517826252801	1	0	1
4.21887866424553E+017	SickStory_	Blunt has me feeling like I'm having an asthma attack	1/11/2014	0	0				https://twitter.com/SickStory_/status/421887866424553473	0	1	-1
3.13505194862321E+017	hclarissa31	"I told my mom I smoked weed and all she told me was "" that's why your asthma is all fked up Clair!"""	3/18/2013	0	2				https://twitter.com/hclarissa31/status/313505194862321666	1	0	1
1.59023486428381E+017	MegannDelgadoo	@CatalinaxTorres well when I went to the doctor they said it was asthma but it feels so much more like anxiety.	1/16/2012	0	0	@CatalinaxTorres			https://twitter.com/MegannDelgadoo/status/159023486428381184	1	0	1
4.07900245381894E+017	dianne_gann	My ears hurt. I think I have asthma . It's either that or meningitis @misssmarymack #hypochondriac #maybeitsconjunctivitis	12/3/2013	1	2	@misssmarymack	#hypochondriac #maybeitsconjunctivitis		https://twitter.com/dianne_gann/status/407900245381894145	0	1	-1
3.90506847356325E+017	Brittney_malin	I literally hate having asthma ...	10/16/2013	0	0				https://twitter.com/Brittney_malin/status/390506847356325889	1	0	1
3.77257747865407E+017	_asma1121	@mishelyXo @Ayeitskirstiie ASTHMA	9/9/2013	0	0	@mishelyXo @Ayeitskirstiie			https://twitter.com/_asma1121/status/377257747865407488	1	0	1
4.34426369192509E+017	stephenstephan	Here (@Allergy & Asthma Specialists of Jacksonville) http:// 4sq.com/1lPm36C	2/14/2014	0	0	@Allergy			https://twitter.com/stephenstephan/status/434426369192509441	0	1	-1
4.43938660376129E+017	CourtLickem	â€œ @macweinerzz : I want another cat. I miss Kevin. â€ that's asking for me to go into cardiac arrest.. do you want me to have a asthma attack	3/12/2014	0	0	@macweinerzz			https://twitter.com/CourtLickem/status/443938660376129536	1	0	1
2.86089312800489E+017	MuhKayTitz	I feel like I can't breathe.. asthma bronchitis and allergies at the same time.	1/1/2013	0	0				https://twitter.com/MuhKayTitz/status/286089312800489472	1	0	1
22904140696	topix_ct	Yale Researchers Identify Genes Associated with Asthma - http://bit.ly/bXnJXb #NewHaven #Connecticut	9/3/2010	0	0		#NewHaven #Connecticut		https://twitter.com/topix_ct/status/22904140696	1	0	1
4.8171686340395E+017	__HeadHoncho_	 @Jaylaaaa___ : Chase after you? Nah, my nigga I got asthma .	6/25/2014	1	1	@Jaylaaaa___			https://twitter.com/__HeadHoncho_/status/481716863403950080	0	1	-1
2.68091097559994E+017	Hoodbelle	I'm at Frederick Allergy & Asthma (Frederick, MD) http:// 4sq.com/QBYXod	11/12/2012	0	0				https://twitter.com/Hoodbelle/status/268091097559994368	0	1	-1
4.05397342465302E+017	Erik_Aldrich	I hate the cold. Ive gone through way too much albuterol for my asthma so my heart is just racing constantly.	11/26/2013	0	0				https://twitter.com/Erik_Aldrich/status/405397342465302528	1	0	1
1.59711523386826E+017	ThestralSparksy	@PennyLane516 Dying, still. And I'm pretty sure I almost just had an asthma attack.	1/18/2012	0	0	@PennyLane516			https://twitter.com/ThestralSparksy/status/159711523386826752	1	0	1
